,,Rubro,Artículo,Nombre,Bt.LISTA 2
,,VINOS,1704,LAS PERDICES MALBEC X 750,"7190,00"
,,VINOS,1705,LAS PERDICES CAB SAUV X 750,"7190,00"
,,VINOS,1706,LAS PERDICES SAUVI BLANC X 750,"7190,00"
,,VINOS,1707,LAS PERDICES PARTRIDGE MALBEC X 750,"5200,00"
,,VINOS,1708,LAS PERDICES PARTRIDGE CHARDONNAY X 750,"5200,00"
,,VINOS,1709,LAS PERDICES RESERVA MALBEC X 750,"10880,00"
,,VINOS,1710,LAS PERDICES RESERVA CHARDONNAY X 750,"10880,00"
,,VINOS,1711,LAS PERDICES ALA COLORADA ANCELLOTA X 750,"14430,00"
,,VINOS,1712,LAS PERDICES EXTRA BRUT CORTO X 750,"8660,00"
,,VINOS,1713,LAS PERDICES BRUT ROSÉ X 750,"7850,00"
,,VINOS,1714,LAS PERDICES BIB PARTRIDGE MALBEC X 3 L,"15580,00"
,,VINOS,1898,"LA IRIDE ""HUELGA DE AMORES"" X 750ml","4690,00"
,,VINOS,2088,MARCIANO WINE MALBEC,"7500,00"
,,VINOS,2230,PERRO CALLEJERO SAUV BLANC X 750,"6980,00"
,,VINOS,2270,LAS PERDICES PARTRIDGE ESPUMANTE X 750,"6520,00"
,,VINOS,2404,VARGAS LINARES MALBEC,"2900,00"
